# Est,rBias,rMSE,SE_em,SE,Coverage
2.509,0.362,0.342,0.092,0.103,0.827
3.002,0.061,0.362,0.104,0.108,0.857
7.519,0.258,0.179,0.114,0.116,0.857
-7.988,0.152,0.119,0.097,0.108,0.806
1.497,0.208,0.474,0.084,0.106,0.878
5.195,0.094,0.015,0.027,0.111,0.980
1.598,0.108,0.076,0.035,0.106,0.949
-1.199,0.096,0.088,0.032,0.115,0.980
