# Est,rBias,rMSE,SE_em,SE,Coverage
2.501,0.026,0.391,0.099,0.112,0.832
3.014,0.456,0.367,0.104,0.107,0.842
7.522,0.290,0.137,0.099,0.119,0.874
-7.992,0.103,0.114,0.095,0.108,0.874
1.499,0.067,0.496,0.086,0.117,0.895
5.196,0.070,0.039,0.045,0.112,0.958
1.602,0.155,0.249,0.063,0.106,0.916
-1.200,0.021,0.307,0.061,0.116,0.937
