# Est,rBias,rMSE,SE_em,SE,Coverage,SE_BT,Coverage_bt,SE_BT1,Coverage_bt1,SE_BT2,Coverage_bt2
2.490,0.420,0.407,0.100,0.111,0.824,0.101,0.929,0.104,0.918,0.104,0.906
2.990,0.334,0.347,0.102,0.107,0.824,0.104,0.965,0.101,0.941,0.104,0.953
7.489,0.141,0.116,0.093,0.108,0.894,0.099,0.953,0.103,0.965,0.103,0.918
-8.011,0.132,0.126,0.100,0.108,0.847,0.103,0.929,0.105,0.953,0.104,0.965
1.499,0.053,0.503,0.087,0.101,0.835,0.102,0.941,0.102,0.929,0.105,0.965
5.184,0.308,0.191,0.098,0.105,0.847,0.097,0.906,0.098,0.941,0.098,0.918
1.622,1.362,0.599,0.095,0.116,0.871,0.102,0.953,0.101,0.929,0.100,0.953
-1.182,1.481,0.601,0.083,0.110,0.894,0.098,0.965,0.103,0.976,0.104,0.988
