# Est,rBias,rMSE,SE_em,SE,Coverage,SE_BT,Coverage_bt,SE_BT1,Coverage_bt1,SE_BT2,Coverage_bt2
2.506,0.256,0.385,0.098,0.109,0.837,0.105,0.965,0.102,0.942,0.104,0.965
3.008,0.262,0.336,0.100,0.107,0.826,0.103,0.919,0.103,0.942,0.101,0.942
7.504,0.053,0.138,0.102,0.109,0.837,0.098,0.907,0.100,0.895,0.104,0.907
-8.002,0.021,0.124,0.100,0.100,0.849,0.106,0.953,0.101,0.942,0.102,0.930
1.498,0.131,0.528,0.089,0.107,0.860,0.105,0.988,0.100,0.953,0.102,0.942
5.180,0.394,0.173,0.093,0.102,0.895,0.101,0.942,0.102,0.953,0.101,0.942
1.603,0.214,0.590,0.097,0.119,0.826,0.099,0.942,0.102,0.965,0.099,0.930
-1.213,1.088,0.582,0.083,0.101,0.837,0.099,0.965,0.100,0.988,0.107,0.988
