# Est,rBias,rMSE,SE_em,SE,Coverage
2.497,0.117,0.459,0.107,0.111,0.835
3.002,0.058,0.318,0.098,0.112,0.835
7.503,0.041,0.115,0.093,0.111,0.897
-8.009,0.107,0.120,0.097,0.105,0.814
1.498,0.128,0.486,0.085,0.116,0.887
5.205,0.105,0.028,0.038,0.112,0.979
1.593,0.454,0.270,0.065,0.115,0.918
-1.192,0.664,0.353,0.065,0.111,0.938
