# Est,rBias,rMSE,SE_em,SE,Coverage,SE_BT,Coverage_bt,SE_BT1,Coverage_bt1,SE_BT2,Coverage_bt2
2.502,0.067,0.438,0.105,0.109,0.828,0.104,0.908,0.102,0.885,0.100,0.885
3.009,0.297,0.322,0.098,0.106,0.816,0.103,0.943,0.101,0.943,0.104,0.943
7.494,0.077,0.119,0.094,0.120,0.897,0.101,0.931,0.103,0.931,0.104,0.943
-7.992,0.104,0.135,0.104,0.111,0.816,0.102,0.920,0.105,0.908,0.103,0.908
1.482,1.176,0.482,0.083,0.104,0.839,0.104,0.977,0.105,0.966,0.100,0.989
5.186,0.269,0.232,0.109,0.108,0.839,0.102,0.897,0.100,0.874,0.103,0.943
1.612,0.763,0.495,0.088,0.105,0.874,0.106,0.954,0.100,0.931,0.103,0.954
-1.210,0.862,0.637,0.087,0.105,0.851,0.105,0.977,0.100,0.966,0.102,0.954
